Keyword,Country code,Location,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
東京 名所,JP,Japan,Tokyo (Location),"People also ask, Knowledge panel, AI Overview, Thumbnail",1500,31,0.03,53,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-21 00:40:49,false,true,false,false,false,true
東京おすすめ,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Knowledge panel, Sitelinks",1500,32,0.03,50,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-23 00:57:17,false,true,false,false,false,true
東京都 観光地,JP,Japan,Tokyo Metropolis (Location),"Thumbnail, People also ask, Sitelinks",900,18,0.02,46,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-24 14:29:20,false,true,false,false,false,true
go to tokyo,JP,Japan,Tokyo (Location),"Sitelinks, People also ask",150,0,0.02,45,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-14 15:01:39,false,true,false,false,false,true
東京都観光,JP,Japan,Tokyo Metropolis (Location),"People also ask, Knowledge panel, Sitelinks, Thumbnail",500,30,0.03,33,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-23 23:58:22,false,true,false,false,false,true
とうきょう,JP,Japan,Tokyo (Location),"Sitelinks, Knowledge panel, Thumbnail, People also ask",1900,80,0.04,30,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-24 02:35:52,false,true,false,false,false,true
东京,JP,Japan,Tokyo (Location),"Sitelinks, Knowledge panel, Thumbnail, People also ask",1900,94,0.07,28,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-24 23:40:36,false,true,false,false,false,true
東京の観光地,JP,Japan,Tokyo (Location),"People also ask, Knowledge panel, Thumbnail, Sitelinks",900,31,0.03,27,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-23 06:57:08,false,true,false,false,false,true
東京 観光名所,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Knowledge panel, Sitelinks",1000,31,0.03,26,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-23 09:41:20,false,true,false,false,false,true
東京見どころ,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Knowledge panel",300,31,0.02,26,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-16 22:27:37,false,true,false,false,false,true
東京,KH,Cambodia,Tokyo (Location),"Sitelinks, Thumbnail, Knowledge panel, People also ask",80,72,0.27,25,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-21 08:17:06,false,true,false,false,false,true
東京名所,JP,Japan,,"People also ask, Knowledge panel, Sitelinks, Thumbnail",1100,31,0.03,25,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-24 10:30:23,false,true,false,false,false,true
東京 観光,US,United States,Tokyo (Location),"Sitelinks, AI Overview, Knowledge panel, People also ask, Thumbnail",350,39,0.06,25,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-22 12:13:09,false,true,false,false,false,true
東京旅行 おすすめ,JP,Japan,,"People also ask, Thumbnail, Knowledge panel, Sitelinks",1100,31,0.11,25,0,10,https://www.gotokyo.org/jp/index.html,,2025-09-21 00:04:08,false,true,false,false,false,true
東京 近郊 観光,JP,Japan,Tokyo (Location),"AI Overview, Thumbnail, Sitelinks, People also ask, Knowledge panel",200,15,0.04,24,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-24 14:03:49,false,true,false,false,false,true
都内観光,JP,Japan,Tokyo Metropolitan Area (Location),"Thumbnail, Knowledge panel, Sitelinks, People also ask",900,28,0.03,24,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-22 19:57:56,false,true,false,false,false,true
東京近郊観光,JP,Japan,Tokyo Suburbs (Location),"Thumbnail, AI Overview, Knowledge panel, People also ask, Video preview",150,2,0.04,24,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-07 19:56:46,false,true,false,false,false,true
おすすめ 東京,JP,Japan,Tokyo (Location),"Thumbnail, AI Overview, People also ask, Sitelinks, Video preview, Knowledge panel",500,32,0.02,24,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-10 06:26:10,false,true,false,false,false,true
tokyo観光,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",200,46,0.03,23,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-20 05:47:51,false,true,false,false,false,true
東京 観光 スポット,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, People also ask, Knowledge panel",300,31,0.01,23,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-24 19:59:07,false,true,false,false,false,true
東京 おすすめ 観光,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Sitelinks",500,31,0.01,21,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-19 18:40:22,false,true,false,false,false,true
東京,GB,United Kingdom,Tokyo (Location),"Sitelinks, Knowledge panel, People also ask, Thumbnail, Top stories",400,72,0.06,20,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-23 00:09:32,false,true,false,false,false,true
東京有名なもの,JP,Japan,Tokyo (Location),"AI Overview, Thumbnail, People also ask, Knowledge panel, Sitelinks",1100,30,0.03,20,0,12,https://www.gotokyo.org/jp/index.html,,2025-09-22 20:18:06,false,true,false,false,false,true
東京付近 観光,JP,Japan,,"Thumbnail, AI Overview, Sitelinks, Video preview, Knowledge panel",150,16,0.04,20,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-03 03:21:38,false,true,false,false,false,true
観光スポット 東京,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, People also ask, Video preview, Knowledge panel",300,31,0.01,20,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-02 01:08:12,false,true,false,false,false,true
観光東京,JP,Japan,Tokyo (Location),"Sitelinks, Thumbnail, Knowledge panel, People also ask",150,38,,19,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-19 01:19:02,false,true,false,false,false,true
東京 都内 観光,JP,Japan,"Tokyo (Location), Tokyo Metropolitan Area (Location)","People also ask, Knowledge panel, Sitelinks, Thumbnail",1300,38,0.35,19,0,12,https://www.gotokyo.org/jp/index.html,,2025-09-23 17:36:34,false,true,false,false,false,true
東京,MM,Myanmar,Tokyo (Location),"Sitelinks, Thumbnail, Top stories, People also ask",60,73,0.27,19,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-21 15:23:18,false,true,false,false,false,true
東京都 有名な場所,JP,Japan,Tokyo Metropolis (Location),"People also ask, Thumbnail, Sitelinks, Knowledge panel",400,31,0.16,17,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-08 21:03:38,false,true,false,false,false,true
東京観光,US,United States,,"AI Overview, Thumbnail, Sitelinks, Knowledge panel, People also ask",200,47,0.06,17,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-20 13:22:42,false,true,false,false,false,true
東京観光名所,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Knowledge panel, Sitelinks",700,31,0.02,16,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-22 16:03:29,false,true,false,false,false,true
東京 東京,JP,Japan,Tokyo (Location),"People also ask, Sitelinks, Top stories, Thumbnail, Knowledge panel",200,67,0.06,16,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-06 14:19:12,false,true,false,false,false,true
東京 有名なもの,JP,Japan,Tokyo (Location),"AI Overview, Thumbnail, Knowledge panel, People also ask, Sitelinks",900,30,0.01,16,0,13,https://www.gotokyo.org/jp/index.html,,2025-09-23 06:10:09,false,true,false,false,false,true
東京 オススメ,JP,Japan,Tokyo (Location),"People also ask, Sitelinks, Knowledge panel, Thumbnail",500,31,0.03,15,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-22 15:00:51,false,true,false,false,false,true
東京見物,JP,Japan,Tokyo (Location),"Sitelinks, People also ask, Knowledge panel, Discussions and forums, Thumbnail",600,30,0.01,15,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-21 05:19:54,false,true,false,false,false,true
東京,VN,Vietnam,Tokyo (Location),"Sitelinks, Knowledge panel, Thumbnail, People also ask, Top stories",250,73,0.04,14,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-18 19:12:27,false,true,false,false,false,true
東京遊び,JP,Japan,Tokyo (Location),"Sitelinks, Thumbnail, Knowledge panel",600,22,0.06,14,0,10,https://www.gotokyo.org/jp/index.html,,2025-09-21 01:08:48,false,true,false,false,false,true
外国人 東京観光,JP,Japan,,"Thumbnail, Sitelinks, Video preview, People also ask",300,21,0.02,14,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-22 01:52:54,false,true,false,false,false,true
東京の観光スポット,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Knowledge panel, Sitelinks, Video preview",200,30,0.01,14,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-06 00:33:27,false,true,false,false,false,true
東京都観光スポット,JP,Japan,Tokyo Metropolis (Location),"Thumbnail, People also ask, Sitelinks, Video preview, Knowledge panel",200,31,0.20,14,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-11 23:32:11,false,true,false,false,false,true
東京 おすすめ スポット,JP,Japan,Tokyo (Location),"AI Overview, Thumbnail, People also ask, Sitelinks, Knowledge panel",250,39,0.03,13,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-20 18:19:56,false,true,false,false,false,true
都内 旅行,JP,Japan,Tokyo Metropolitan Area (Location),"Thumbnail, Sitelinks, People also ask, Knowledge panel",200,30,0.10,13,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-14 08:18:21,false,true,false,false,false,true
東京都有名,JP,Japan,Tokyo (Location),"AI Overview, Thumbnail, People also ask, Sitelinks, Knowledge panel",250,31,0.03,13,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-08 08:10:08,false,true,false,false,false,true
东京旅游,JP,Japan,,"Sitelinks, Thumbnail, Knowledge panel",100,22,0.06,13,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-18 13:53:49,false,true,false,false,false,true
東京見物 おすすめ,JP,Japan,,"Top ads, People also ask, Knowledge panel, AI Overview, Sitelinks, Thumbnail, Video preview",250,39,0.02,13,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-05 19:31:26,false,true,false,false,false,true
東京都内,JP,Japan,Tokyo Metropolitan Area (Location),"AI Overview, Thumbnail, Knowledge panel, Sitelinks",800,42,0.04,12,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-21 20:34:12,false,true,false,false,false,true
東京の有名な場所,JP,Japan,Tokyo (Location),"Top ads, People also ask, Knowledge panel, Thumbnail, Sitelinks, Video preview",500,31,0.04,12,0,10,https://www.gotokyo.org/jp/index.html,,2025-09-04 05:09:51,false,true,false,false,false,true
東京都 旅行,JP,Japan,Tokyo Metropolis (Location),"Thumbnail, People also ask, Sitelinks, Knowledge panel",200,31,0.16,12,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-19 16:58:23,false,true,false,false,false,true
東京おすすめ観光,JP,Japan,Tokyo (Location),"Sitelinks, Thumbnail, AI Overview, Knowledge panel, People also ask",400,31,0.03,12,0,10,https://www.gotokyo.org/jp/index.html,,2025-09-18 00:29:24,false,true,false,false,false,true
東京觀光,JP,Japan,Tokyo (Location),"Sitelinks, People also ask, Thumbnail, Video preview",80,52,0.09,12,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-06 11:00:27,false,true,false,false,false,true
日本 東京,JP,Japan,Tokyo (Location),"People also ask, Sitelinks, Thumbnail, Knowledge panel",250,62,0.03,11,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-12 06:38:47,false,true,false,false,false,true
goto 東京,JP,Japan,Tokyo (Location),"Sitelinks, People also ask, Thumbnail, Video preview",30,0,0.18,11,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-07 22:21:03,false,true,false,false,false,true
東京,FR,France,Tokyo (Location),"Knowledge panel, Sitelinks, Thumbnail, People also ask, Videos, Video preview",300,70,0.08,11,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-13 17:59:58,false,true,false,false,false,true
tokyo where to go,JP,Japan,Tokyo (Location),"Sitelinks, Thumbnail",100,63,0.04,11,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-19 00:08:24,false,true,false,false,false,true
東京都有名な場所,JP,Japan,Tokyo (Location),"People also ask, Knowledge panel, Thumbnail, Sitelinks",500,31,0.16,11,0,10,https://www.gotokyo.org/jp/index.html,,2025-09-04 06:48:03,false,true,false,false,false,true
東京都 観光スポット,JP,Japan,Tokyo Metropolis (Location),"Thumbnail, People also ask, Knowledge panel, Sitelinks",200,31,0.20,10,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-17 03:23:46,false,true,false,false,false,true
東京 観光,BR,Brazil,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",150,46,0.08,10,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-18 03:01:07,false,true,false,false,false,true
都内 スポット,JP,Japan,Tokyo Metropolitan Area (Location),"Thumbnail, People also ask, Sitelinks, Knowledge panel",200,30,0.02,10,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-16 19:55:13,false,true,false,false,false,true
東京 楽しみ方,JP,Japan,Tokyo (Location),"AI Overview, Thumbnail, People also ask, Sitelinks",150,30,0.03,10,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-25 00:11:26,false,true,false,false,false,true
東京,RU,Russian Federation,Tokyo (Location),"Sitelinks, Knowledge panel, Thumbnail, People also ask, Top stories",90,72,,10,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-18 00:01:17,false,true,false,false,false,true
toukyou,JP,Japan,Tokyo (Location),"Sitelinks, Knowledge panel, People also ask, Thumbnail",600,80,0.05,10,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-21 00:22:39,false,true,false,false,false,true
東京 旅行 おすすめ,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Knowledge panel, Sitelinks",600,31,0.11,9,0,10,https://www.gotokyo.org/jp/index.html,,2025-09-20 00:26:09,false,true,false,false,false,true
東京,SG,Singapore,Tokyo (Location),"People also ask, Knowledge panel, Sitelinks, Thumbnail",350,75,0.03,9,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-19 21:45:09,false,true,false,false,false,true
東京 観光,CA,Canada,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask, Video preview, Bottom ads, Paid sitelinks",100,42,,9,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-06 01:25:56,false,true,false,false,false,true
東京,KR,South Korea,Tokyo (Location),"Knowledge panel, Sitelinks, People also ask, Thumbnail",500,68,0.07,9,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-21 14:39:07,false,true,false,false,false,true
東京,CA,Canada,Tokyo (Location),"Sitelinks, Knowledge panel, Thumbnail, People also ask, Top stories",350,72,0.05,9,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-17 18:36:03,false,true,false,false,false,true
東京旅,JP,Japan,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",80,33,0.18,9,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-03 20:06:23,false,true,false,false,false,true
東京都内 観光,JP,Japan,Tokyo Metropolitan Area (Location),"Thumbnail, People also ask, Sitelinks, Knowledge panel",300,37,0.03,9,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-21 17:55:59,false,true,false,false,false,true
東京都 有名,JP,Japan,Tokyo Metropolis (Location),"AI Overview, Thumbnail, People also ask, Sitelinks, Knowledge panel",250,31,0.02,8,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-18 05:03:56,false,true,false,false,false,true
東京 観光,AU,Australia,Tokyo (Location),"AI Overview, Thumbnail, Sitelinks, People also ask, Knowledge panel",150,46,0.02,8,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-13 09:19:38,false,true,false,false,false,true
東京,AU,Australia,Tokyo (Location),"Sitelinks, Knowledge panel, Thumbnail, People also ask, Top stories",400,77,0.07,8,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-18 02:25:21,false,true,false,false,false,true
where to go tokyo,JP,Japan,Tokyo (Location),"Sitelinks, Thumbnail, Video preview",60,62,,8,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-02 01:16:36,false,true,false,false,false,true
旅行 東京,JP,Japan,Tokyo (Location),"Thumbnail, AI Overview, People also ask, Sitelinks, Knowledge panel",300,19,0.18,8,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-15 23:02:37,false,true,false,false,false,true
tokyo 観光,JP,Japan,Tokyo (Location),"People also ask, Thumbnail, Sitelinks, Video preview, Knowledge panel",100,39,0.05,7,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-01 21:25:19,false,true,false,false,false,true
gototokyo,JP,Japan,GoTokyo (Organization),"Sitelinks, People also ask, Thumbnail",10,0,,7,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-21 01:31:09,false,true,false,false,true,true
東京の名所,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Sitelinks, Knowledge panel",250,31,0.03,7,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-17 14:09:42,false,true,false,false,false,true
東京の見所,JP,Japan,Tokyo (Location),"People also ask, AI Overview, Sitelinks, Thumbnail, Video preview, Knowledge panel",80,31,0.01,7,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-07 23:32:43,false,true,false,false,false,true
都内 観光スポット,JP,Japan,Tokyo Metropolitan Area (Location),"Thumbnail, People also ask, Sitelinks, Knowledge panel",150,30,0.03,7,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-12 00:33:35,false,true,false,false,false,true
東京巡り,JP,Japan,,"Sitelinks, People also ask, Thumbnail, Video preview",250,30,0.03,7,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-11 01:00:39,false,true,false,false,false,true
東京都観光地,JP,Japan,Tokyo Metropolis (Location),"People also ask, Knowledge panel, AI Overview, Thumbnail, Sitelinks, Video preview",500,18,0.03,7,0,14,https://www.gotokyo.org/jp/index.html,,2025-09-04 08:30:57,false,true,false,false,false,true
東京 観光おすすめ,JP,Japan,Tokyo (Location),"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview, Knowledge panel",150,31,0.01,7,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-10 02:20:42,false,true,false,false,false,true
東京 観光スポット,US,United States,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",100,31,,7,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-24 20:45:11,false,true,false,false,false,true
東京 旅,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, People also ask, Video preview",60,33,0.18,7,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-06 05:39:15,false,true,false,false,false,true
東京,ID,Indonesia,Tokyo (Location),"Sitelinks, Knowledge panel, People also ask, Thumbnail, Top stories",300,72,0.08,6,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-17 21:11:42,false,true,false,false,false,true
tokyo japan,JP,Japan,"Tokyo (Location), Japan (Location)","AI Overview, Thumbnail, Sitelinks, People also ask, Knowledge panel",1100,88,0.03,6,0,11,https://www.gotokyo.org/jp/index.html,,2025-09-21 03:36:51,false,true,false,false,false,true
東京都で有名なもの,JP,Japan,Tokyo Metropolis (Location),"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview, Knowledge panel",100,31,0.02,6,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-07 20:23:05,false,true,false,false,false,true
東京 観光,GB,United Kingdom,Tokyo (Location),"AI Overview, Thumbnail, Sitelinks, People also ask, Knowledge panel",100,39,,6,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-13 19:28:02,false,true,false,false,false,true
東京のおすすめスポット,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Sitelinks, Knowledge panel",150,31,0.03,6,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-17 12:28:23,false,true,false,false,false,true
東京案内,JP,Japan,,"AI Overview, Thumbnail, Sitelinks, People also ask",50,39,,6,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-12 14:53:57,false,true,false,false,false,true
東京 観光地 おすすめ,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",200,30,0.01,6,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-17 03:15:49,false,true,false,false,false,true
東京,IN,India,Tokyo (Location),"Sitelinks, Thumbnail, People also ask, Knowledge panel",100,73,0.09,6,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-16 03:37:03,false,true,false,false,false,true
東京,MY,Malaysia,Tokyo (Location),"Sitelinks, Thumbnail, Knowledge panel, People also ask, Top stories",250,70,0.15,6,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-18 13:52:42,false,true,false,false,false,true
東京 観光場所,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Sitelinks, Knowledge panel",150,30,0.01,6,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-25 02:14:29,false,true,false,false,false,true
東京の,JP,Japan,Tokyo (Location),"Knowledge panel, People also ask, Top stories, Thumbnail, Sitelinks",700,46,,6,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-22 23:54:22,false,true,false,false,false,true
東京 観光,KR,South Korea,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",100,39,0.02,6,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-24 07:17:52,false,true,false,false,false,true
